accession,id,description,keyword,,,,
PF05238,CENP-N,Kinetochore protein CHL4 like,chromossome,,,,
PF06470,SMC_hinge,SMC proteins Flexible Hinge Domain,chromossome,,,,
PF00415,RCC1,Regulator of chromosome condensation (RCC1) repeat,chromossome,,,,
PF02463,SMC_N,RecF/RecN/SMC N terminal domain,chromossome,,,,
PF16330,MukB_hinge,MukB hinge domain,chromossome,,,,
PF04079,SMC_ScpB,Segregation and condensation complex subunit ScpB,chromossome,,,,
PF04288,MukE,MukE-like family,chromossome,,,,
PF04310,MukB,MukB N-terminal,chromossome,,,,
PF04824,Rad21_Rec8,Conserved region of Rad21 / Rec8 like protein,chromossome,,,,
PF05859,Mis12,Mis12 protein,chromossome,,,,
PF12422,Condensin2nSMC,Condensin II non structural maintenance of chromosomes subunit,chromossome,,,,
PF05786,Cnd2,Condensin complex subunit 2,chromossome,,,,
PF12539,Csm1,Chromosome segregation protein Csm1/Pcs1,chromossome,,,,
PF00665,rve,Integrase core domain,chromossome,,,,
PF02616,SMC_ScpA,Segregation and condensation protein ScpA,chromossome,,,,
PF03378,CAS_CSE1,"CAS/CSE protein, C-terminus",chromossome,,,,
PF03882,KicB,MukF winged-helix domain,chromossome,,,,
PF03941,INCENP_ARK-bind,"Inner centromere protein, ARK binding region",chromossome,,,,
PF03962,Mnd1,Mnd1 HTH domain,chromossome,,,,
PF03980,Nnf1,Nnf1 ,chromossome,,,,
PF04825,Rad21_Rec8_N,N terminus of Rad21 / Rec8 like protein,chromossome,,,,
PF05030,SSXT,SSXT protein (N-terminal region),chromossome,,,,
PF06179,Med22,Surfeit locus protein 5 subunit 22 of Mediator complex,chromossome,,,,
PF06229,FRG1,FRG1-like domain,chromossome,,,,
PF06278,CNDH2_N,"Condensin II complex subunit CAP-H2 or CNDH2, N-terminal",chromossome,,,,
PF06303,MatP,MatP N-terminal domain,chromossome,,,,
PF07458,SPAN-X,"Sperm protein associated with nucleus, mapped to X chromosome",chromossome,,,,
PF07574,SMC_Nse1,Nse1 non-SMC component of SMC5-6 complex,chromossome,,,,
PF07778,CENP-I,Mis6 ,chromossome,,,,
PF07964,Red1,Rec10 / Red1,chromossome,,,,
PF08234,Spindle_Spc25,Chromosome segregation protein Spc25,chromossome,,,,
PF08691,Nse5,DNA repair proteins Nse5 and Nse6,chromossome,,,,
PF09140,MipZ,ATPase MipZ,chromossome,,,,
PF09496,CENP-O,Cenp-O kinetochore centromere component,chromossome,,,,
PF09696,Ctf8,Ctf8,chromossome,,,,
PF09724,Dcc1,Sister chromatid cohesion protein Dcc1,chromossome,,,,
PF09739,MCM_bind,Mini-chromosome maintenance replisome factor,chromossome,,,,
PF10345,Cohesin_load,Cohesin loading factor,chromossome,,,,
PF11802,CENP-K,Centromere-associated protein K,chromossome,,,,
PF12002,MgsA_C,MgsA AAA+ ATPase C terminal,chromossome,,,,
PF12009,Telomerase_RBD,Telomerase ribonucleoprotein complex - RNA binding domain,chromossome,,,,
PF12253,CAF1A,Chromatin assembly factor 1 subunit A,chromossome,,,,
PF12341,Mcl1_mid,"Minichromosome loss protein, Mcl1, middle region",chromossome,,,,
PF12455,Dynactin,Dynein associated protein ,chromossome,,,,
PF12658,Ten1,"Telomere capping, CST complex subunit",chromossome,,,,
PF12678,zf-rbx1,RING-H2 zinc finger domain,chromossome,,,,
PF12709,Fungal_TACC,Fungal Transforming acidic coiled-coil (TACC) proteins,chromossome,,,,
PF12717,Cnd1,non-SMC mitotic condensation complex subunit 1,chromossome,,,,
PF12719,Cnd3,"Nuclear condensing complex subunits, C-term domain",chromossome,,,,
PF12896,ANAPC4,"Anaphase-promoting complex, cyclosome, subunit 4",chromossome,,,,
PF12922,Cnd1_N,"non-SMC mitotic condensation complex subunit 1, N-term",chromossome,,,,
PF13092,CENP-L,Kinetochore complex Sim4 subunit Fta1,chromossome,,,,
PF13093,FTA4,"Kinetochore complex Fta4 of Sim4 subunit, or CENP-50",chromossome,,,,
PF13094,CENP-Q,"CENP-Q, a CENPA-CAD centromere complex subunit",chromossome,,,,
PF13095,FTA2,Kinetochore Sim4 complex subunit FTA2,chromossome,,,,
PF13491,FtsK_4TM,4TM region of DNA translocase FtsK/SpoIIIE,chromossome,,,,
PF13889,Chromosome_seg,Chromosome segregation during meiosis,chromossome,,,,
PF13915,DUF4210,Domain of unknown function (DUF4210),chromossome,,,,
PF14735,HAUS4,HAUS augmin-like complex subunit 4,chromossome,,,,
PF14817,HAUS5,HAUS augmin-like complex subunit 5,chromossome,,,,
PF14881,Tubulin_3,Tubulin domain,chromossome,,,,
PF15021,DUF4521,Protein of unknown function (DUF4521),chromossome,,,,
PF15053,Njmu-R1,Mjmu-R1-like protein family,chromossome,,,,
PF15232,DUF4585,Domain of unknown function (DUF4585),chromossome,,,,
PF15261,JHY,Jhy protein,chromossome,,,,
PF15266,DUF4594,Domain of unknown function (DUF4594),chromossome,,,,
PF16858,CNDH2_C,"Condensin II complex subunit CAP-H2 or CNDH2, C-term",chromossome,,,,
PF17192,MukF_M,MukF middle domain,chromossome,,,,
PF17414,MatP_C,MatP C-terminal ribbon-helix-helix domain,chromossome,,,,
PF01163,RIO1,RIO1 family,chromossome,,,,
PF02891,zf-MIZ,MIZ/SP-RING zinc finger,chromossome,,,,
PF05205,COMPASS-Shg1,COMPASS (Complex proteins associated with Set1p) component shg1,chromossome,,,,
PF07261,DnaB_2,Replication initiation and membrane attachment,chromossome,,,,
PF08286,Spc24,Spc24 subunit of Ndc80,chromossome,,,,
PF09415,CENP-X,CENP-S associating Centromere protein X,chromossome,,,,
PF10382,DUF2439,Protein of unknown function (DUF2439),chromossome,,,,
PF10444,Nbl1_Borealin_N,Nbl1 / Borealin N terminal,chromossome,,,,
PF12895,ANAPC3,"Anaphase-promoting complex, cyclosome, subunit 3",chromossome,,,,
PF13540,RCC1_2,Regulator of chromosome condensation (RCC1) repeat,chromossome,,,,
PF14474,RTC4,RTC4-like domain,chromossome,,,,
PF14661,HAUS6_N,HAUS augmin-like complex subunit 6 N-terminus,chromossome,,,,
PF15239,DUF4586,Domain of unknown function (DUF4586),chromossome,,,,
PF15248,DUF4587,Domain of unknown function (DUF4587),chromossome,,,,
PF17854,FtsK_alpha,FtsK alpha domain,chromossome,,,,
PF18596,Sld7_C,Sld7 C-terminal domain,chromossome,,,,
PF18636,Sld7_N,Mitochondrial morphogenesis protein SLD7 N-terminal domain,chromossome,,,,
PF18777,CRM1_repeat,Chromosome region maintenance or exportin repeat,chromossome,,,,
PF18784,CRM1_repeat_2,CRM1 / Exportin repeat 2,chromossome,,,,
PF18787,CRM1_repeat_3,CRM1 / Exportin repeat 3,chromossome,,,,
PF04856,Securin,Securin sister-chromatid separation inhibitor,chromossome,,,,
